ID,Country of Origin,Farm Name,Mill,Company,Altitude,Region,Producer,In-Country Partner,Harvest Year,Owner,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Certification Body
0,Colombia,Finca El Paraiso,Finca El Paraiso,Coffee Quality Union,1930,Cauca,Diego Samuel Bermudez,Japan Coffee Exchange,2022,Coffee Quality Union,Castillo,Double Anaerobic Washed,8.58,8.5,8.42,8.58,8.25,8.42,10.0,10.0,10.0,8.58,0.0,89.33,11.8,0,0,green,3,Japan Coffee Exchange
1,Taiwan,Royal Bean Geisha Estate,Royal Bean Geisha Estate,Taiwan Coffee Laboratory,1200,Chiayi,Cengfusen,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Gesha,Washed / Wet,8.5,8.5,7.92,8.0,7.92,8.25,10.0,10.0,10.0,8.5,0.0,87.58,10.5,0,0,blue-green,0,Taiwan Coffee Laboratory
2,Laos,Oklao Coffee Farms,Oklao Coffee Processing Plant,Taiwan Coffee Laboratory,1300,Laos Borofen Plateau,Wu Tao Chi,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Java,Semi Washed,8.33,8.42,8.08,8.17,7.92,8.17,10.0,10.0,10.0,8.33,0.0,87.42,10.4,0,0,yellowish,2,Taiwan Coffee Laboratory
3,Costa Rica,La Cumbre,La Montana Tarrazu Mill,Coffee Quality Union,1900,Tarrazu,Santa Maria De Dota,Japan Coffee Exchange,2022,Coffee Quality Union,Gesha,Washed / Wet,8.08,8.17,8.17,8.25,8.17,8.08,10.0,10.0,10.0,8.25,0.0,87.17,11.8,0,0,green,0,Japan Coffee Exchange
4,Colombia,Finca Santuario,Finca Santuario,Coffee Quality Union,2100,Cauca,Camilo Merizalde,Japan Coffee Exchange,2022,Coffee Quality Union,Red Bourbon,Honey / Mossto,8.33,8.33,8.08,8.25,7.92,7.92,10.0,10.0,10.0,8.25,0.0,87.08,11.6,0,2,yellow-green,2,Japan Coffee Exchange
5,Guatemala,La Colina,Dinámica Café,Taiwan Coffee Laboratory,1668,Chimaltenango,Emilio Antonio Medina Garcia,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Gesha,Washed / Wet,8.33,8.33,8.25,7.83,7.83,8.17,10.0,10.0,10.0,8.25,0.0,87.0,10.7,0,0,green,2,Taiwan Coffee Laboratory
6,Taiwan,Melastoma Coffee Estate,Yemudankafei,Taiwan Coffee Laboratory,1250,Chiayi,Huangbaoxi,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Gesha,Washed / Wet,8.33,8.17,8.08,8.0,7.83,8.25,10.0,10.0,10.0,8.25,0.0,86.92,9.1,0,0,green,0,Taiwan Coffee Laboratory
7,Taiwan,Chi Tsai Liu Li Ecological Farm,Qicailiulikafeizhuangyuan,Taiwan Coffee Laboratory,1200,Chiayi,Zhuangjiarong,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Unknown,Natural / Dry,8.25,8.25,8.17,8.0,7.92,8.08,10.0,10.0,10.0,8.08,0.0,86.75,10.0,0,0,yellow-green,1,Taiwan Coffee Laboratory
8,Taiwan,Liang Xuan Coffee Farm,Liangxuankafeizhuangyuan,Taiwan Coffee Laboratory,1250,Chiayi,Zhongxuliang,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Sl34,Washed / Wet,8.08,8.08,8.25,8.08,7.92,8.0,10.0,10.0,10.0,8.25,0.0,86.67,10.8,0,0,greenish,0,Taiwan Coffee Laboratory
9,United Republic Of Tanzania,Mashima Amcos,Gourmet Coffee Mill,Dorman T Limited,1700,Kilimanjaro,Dorman T Limited,Kenya Coffee Traders Association,2023,Gilbert Maina,Bourbon,Washed / Wet,8.08,8.17,8.08,8.17,8.0,8.0,10.0,10.0,10.0,8.0,0.0,86.5,11.0,0,0,greenish,0,Kenya Coffee Traders Association
10,Ethiopia,Tade Gg,Moledo,"Marubeni Corp.,",2200,Guji,Tesfaye Bekele Degaga,Japan Coffee Exchange,2022,Eri Asaeda,Ethiopian Heirlooms,Natural / Dry,8.08,8.25,8.0,8.08,7.92,7.92,10.0,10.0,10.0,8.0,0.0,86.25,11.8,0,1,greenish,1,Japan Coffee Exchange
11,Guatemala,Karen Acajabon Coffee Farm,Cafetoland,Taiwan Coffee Laboratory,2000,Acatenango,Karen Acajabon,Taiwan Coffee Laboratory,2021,Full Sweet Coffee,Gesha,Natural / Dry,8.08,8.0,8.0,7.75,8.25,8.17,10.0,10.0,10.0,8.0,0.0,86.25,11.5,0,0,brownish,1,Taiwan Coffee Laboratory
12,Taiwan,Goodfun Coffee Farm,Gufengkafeizhuangyuan,Taiwan Coffee Laboratory,1250,Yunlin,Laiyanhe,Taiwan Coffee Laboratory,2022,Goodfun,Gesha,Washed / Wet,8.08,8.0,8.08,8.08,8.0,8.0,10.0,10.0,10.0,8.0,0.0,86.25,11.9,0,0,green,0,Taiwan Coffee Laboratory
13,Ethiopia,Gelana Geisha,Dry Mill Or Hulling Facility,Kerchanshe Trading Plc,2000,Guji,Kerchanshe,Metad Agricultural Development Plc,2022,Isreal Degefa,Gesha,Natural / Dry,7.67,8.17,8.0,8.33,8.0,8.0,10.0,10.0,10.0,8.0,0.0,86.17,11.6,0,3,yellow-green,2,Metad Agricultural Development Plc
14,Colombia,La Gaitania,La Gaitania,Taiwan Coffee Laboratory,1850,Tolima,Josue Enciso Suarez,Taiwan Coffee Laboratory,2022,Peihsun Lin,Caturra,Washed / Wet,8.08,8.0,8.08,7.92,8.08,8.0,10.0,10.0,10.0,8.0,0.0,86.17,10.6,0,0,green,0,Taiwan Coffee Laboratory
